dataset;column;timeseries;coltype;timeseries_agg
followup_niere;graft_failure_reason;True;followup;keep
followup_niere;graft_function;False;followup;
followup_niere;graft_function_delayed;False;followup;
followup_niere;height_cm;True;followup;keep
followup_niere;hospitilization_date;False;followup;
followup_niere;hypertension;False;followup;
followup_niere;induction_therapy;False;followup;
followup_niere;last_dialysis_date;False;followup;
followup_niere;lymphocele;False;followup;
followup_niere;malgin;True;followup;keep
followup_niere;other_complications;False;followup;
followup_niere;other_diseases;False;followup;
followup_niere;other_transplant_diseases;True;followup;keep
followup_niere;patient_died;True;followup;keep
followup_niere;rejection;True;followup;keep
followup_niere;rejections_count;False;followup;
followup_niere;survey_type;True;followup;keep
followup_niere;treated_chronic_rejection;True;followup;keep
followup_niere;treated_chronic_rejections_count;True;followup;keep
followup_niere;trial_immunosuppressants;False;followup;
followup_niere;urine_leakage;False;followup;
followup_niere;vein_thrombosis;False;followup;
followup_niere;weight_kg;True;followup;keep
followup_niere;work_ability;False;followup;
followup_niere;wound_infection_present;False;followup;
followup_niere;wound_infection_type;False;followup;
followup_niere_medikation;date;True;followup;keep
followup_niere_medikation;immunosuppressant;True;followup;keep
followup_niere_medikation;immunosuppressant_details;True;followup;keep
organ_entnahme_niere;any_problems;False;feature;
organ_entnahme_niere;arterial_problems;False;feature;
organ_entnahme_niere;artery_patch;False;feature;
organ_entnahme_niere;backtable_flush;False;feature;
organ_entnahme_niere;backtable_flush_solution;False;feature;
organ_entnahme_niere;backtable_flush_solution_ml;False;feature;
organ_entnahme_niere;biopsy;False;metadata;
organ_entnahme_niere;cold_ischemia_time_min;False;feature;
organ_entnahme_niere;comment;False;metadata;
organ_entnahme_niere;crossclamp_date;False;feature;
organ_entnahme_niere;enbloc;False;feature;
organ_entnahme_niere;eval_date;False;metadata;
organ_entnahme_niere;eval_quality_organ;False;feature;
organ_entnahme_niere;heparin_date;False;feature;
organ_entnahme_niere;heparin_iu;False;feature;
organ_entnahme_niere;nephrectomy_date;False;feature;
organ_entnahme_niere;number_arteries;False;feature;
organ_entnahme_niere;number_bags;False;feature;
organ_entnahme_niere;number_ureter;False;feature;
organ_entnahme_niere;number_vein;False;feature;
organ_entnahme_niere;organ_quality;False;feature;
organ_entnahme_niere;perfusion_automatic;False;feature;
organ_entnahme_niere;perfusion_coldstart_date;False;feature;
organ_entnahme_niere;perfusion_quality;False;feature;
organ_entnahme_niere;perfusion_solution;False;feature;
organ_entnahme_niere;perfusion_volume_ml;False;feature;
organ_entnahme_niere;quality_assurance_organ_fozen;False;feature;
organ_entnahme_niere;quality_assurance_packaging_leaking;False;feature;
organ_entnahme_niere;quality_assurance_packaging_level;False;feature;
organ_entnahme_niere;quality_parenchyma;False;feature;
organ_entnahme_niere;reason_unusable;False;feature;
organ_entnahme_niere;removal_date;False;feature;
organ_entnahme_niere;reperfusion_color;False;feature;
organ_entnahme_niere;stitches_date;False;feature;
organ_entnahme_niere;transplant_organ;False;feature;
organ_entnahme_niere;ureter_length;False;feature;
organ_entnahme_niere;ureter_problems;False;feature;
organ_entnahme_niere;urine_production;False;feature;
organ_entnahme_niere;vein_patch;False;feature;
organ_entnahme_niere;vein_problems;False;feature;
organ_entnahme_niere;warm_ischemia_time_min;False;feature;
organ_entnahme_niere;warm_ischemia_time_second_min;False;feature;
spender_postmortem;abroad_visit;False;feature;
spender_postmortem;age;False;feature;
spender_postmortem;alcohol_abuse;False;feature;
spender_postmortem;alcohol_abuse_start_date;False;feature;
spender_postmortem;alcohol_consumption;False;feature;
spender_postmortem;ambulant_treatment;False;feature;
spender_postmortem;anamnesis_by;False;feature;
spender_postmortem;anamnesis_date;False;feature;
spender_postmortem;anamnesis_type;False;metadata;
spender_postmortem;autoimmune_disease;False;feature;
spender_postmortem;birthdate;False;feature;
spender_postmortem;bites;False;feature;
spender_postmortem;bleeding;False;feature;
spender_postmortem;blood_donations_excluded;False;feature;
spender_postmortem;blood_transfusions;False;feature;
spender_postmortem;bloodgroup;False;feature;
spender_postmortem;brain_death_date;False;feature;
spender_postmortem;cardiac_arrest;False;feature;
spender_postmortem;cardiac_arrest_duration_min;False;feature;
spender_postmortem;collection_date;False;metadata;
spender_postmortem;colon_malignancy;False;feature;
spender_postmortem;colon_state;False;feature;
spender_postmortem;coordination_date;False;feature;
spender_postmortem;coronary_artery_disease;False;feature;
spender_postmortem;criminal_history;False;feature;
spender_postmortem;death_reason;False;feature;
spender_postmortem;diabetes_dso;False;feature;
spender_postmortem;diabetes_start_date;False;feature;
spender_postmortem;diabetes_type;False;feature;
spender_postmortem;diarrhea;False;feature;
spender_postmortem;disease_pre_operations;False;feature;
spender_postmortem;doctor_date;False;feature;
spender_postmortem;donor_abroad;False;feature;
spender_postmortem;donor_status;False;feature;
spender_postmortem;donor_type;False;feature;
spender_postmortem;donor_type_iqtig;False;feature;
spender_postmortem;drug_abuse;False;feature;
spender_postmortem;drug_use;False;feature;
spender_postmortem;fever;False;feature;
spender_postmortem;frequent_sex_partner_change;False;feature;
spender_postmortem;gynacologic_malignancy;False;feature;
spender_postmortem;headaches;False;feature;
spender_postmortem;heart_disease;False;feature;
spender_postmortem;heart_state;False;feature;
spender_postmortem;height_cm;False;feature;
spender_postmortem;hematologic_disease;False;feature;
spender_postmortem;hepatitis;False;feature;
spender_postmortem;high_risk;False;feature;
spender_postmortem;hiv_high_risk_visit;False;feature;
spender_postmortem;hospitalization_date;False;feature;
spender_postmortem;hypertension;False;feature;
spender_postmortem;hypertension_start_date;False;feature;
spender_postmortem;hypertension_treated;False;feature;
spender_postmortem;hypotensive_episode;False;feature;
spender_postmortem;hypotensive_episode_duration_min;False;feature;
spender_postmortem;infectious_diseases;False;feature;
spender_postmortem;injection;False;feature;
spender_postmortem;intensive_care_start_date;False;feature;
spender_postmortem;interviewer;False;feature;
spender_postmortem;kidney_left_status;False;feature;
spender_postmortem;kidney_right_status;False;feature;
spender_postmortem;last_reanimation_date;False;feature;
spender_postmortem;law_colon_allowed;False;feature;
spender_postmortem;law_decision_date;False;feature;
spender_postmortem;law_heart_allowed;False;feature;
spender_postmortem;law_kidney_left_allowed;False;feature;
spender_postmortem;law_kidney_right_allowed;False;feature;
spender_postmortem;law_liver_allowed;False;feature;
spender_postmortem;law_lung_left_allowed;False;feature;
spender_postmortem;law_pancreas_allowed;False;feature;
spender_postmortem;liver_left_split_status;False;feature;
spender_postmortem;liver_right_split_status;False;feature;
spender_postmortem;liver_status;False;feature;
spender_postmortem;lung_left_status;False;feature;
